NR,Geschlecht,Alter,Nielsen,Bundesland,Arbeitsstatus,Kinder im Haushalt (<18),Haushaltsgröße,Haushaltsnettoeinkommen,Familienstand,Berufs- / Akademische Bildung,Schulbildung,Stadt,Urban (>100k Einw.),PLZ,Land,Platform,Beantwortungsdauer in Sek.,Beantwortungszeit,"1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.",2. Welche dieser Eiskugeln würdest du am ehesten kaufen?,3. Welche dieser Eiskugeln würdest du am ehesten kaufen?,4. Welche dieser Eiskugeln würdest du am ehesten kaufen?,5. Welche dieser Eiskugeln würdest du am ehesten kaufen?,6. Welche dieser Eiskugeln würdest du am ehesten kaufen?,7. Welche dieser Eiskugeln würdest du am ehesten kaufen?,8. Welche dieser Eiskugeln würdest du am ehesten kaufen?,9. Welche dieser Eiskugeln würdest du am ehesten kaufen?,10. Welche dieser Eiskugeln würdest du am ehesten kaufen?,11. Welche dieser Eiskugeln würdest du am ehesten kaufen?,12. Welche dieser Eiskugeln würdest du am ehesten kaufen?,13. Welche dieser Eiskugeln würdest du am ehesten kaufen?,14. Welche dieser Eiskugeln würdest du am ehesten kaufen?,15. Welche dieser Eiskugeln würdest du am ehesten kaufen?,16. Welche dieser Eiskugeln würdest du am ehesten kaufen?,17. Welche dieser Eiskugeln würdest du am ehesten kaufen?,"18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!"
338,m,37,1,Niedersachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Braunschweig,1,38100,DEU,iOS,87,2021-06-18 14:58:28,-,1C,2B,3B,4C,5C,6C,7A,8B,9A,10C,11B,12C,13B,14A,15B,16B,Hai
339,m,56,3a,Hessen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Offenbach,0,63069,DEU,Android,87,2021-06-18 14:57:36,-,1A,2A,3A,4C,5A,6B,7C,8C,9B,10B,11A,12C,13A,14B,15B,16A,Hai
340,f,30,4,Bayern,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Hauptschulabschluss,Augsburg,1,86154,DEU,iOS,136,2021-06-18 14:50:04,-,1A,2B,3A,4C,5C,6A,7C,8A,9B,10B,11B,12A,13C,14C,15C,16B,Hai
341,f,49,3a,Rheinland-Pfalz,-,-,-,-,-,-,-,Binsfeld,0,54518,DEU,Android,206,2021-06-18 14:53:28,-,1A,2B,3B,4C,5C,6C,7A,8A,9C,10A,11C,12C,13B,14C,15B,16A,Hai
342,m,24,5,Berlin,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Berlin,1,10783,DEU,iOS,55,2021-06-18 14:58:18,-,1A,2A,3C,4A,5B,6A,7C,8B,9B,10C,11C,12B,13B,14B,15C,16B,Hai
343,m,41,1,Schleswig-Holstein,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,2000€ bis 3000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Worth,0,21502,DEU,Android,116,2021-06-18 14:56:27,-,1A,2B,3A,4C,5B,6A,7C,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
344,m,41,3a,Hessen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,2 Personen,3000€ bis 4000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Offenbach,0,63071,DEU,iOS,439,2021-06-18 15:03:55,-,1A,2C,3B,4B,5A,6A,7C,8A,9B,10B,11B,12B,13C,14B,15A,16A,Hai
345,f,29,1,Niedersachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,3000€ bis 4000€,In einer Beziehung,(Noch) kein Abschluss,Realschulabschluss,Holtland,0,26835,DEU,iOS,214,2021-06-18 14:52:48,-,1A,2C,3B,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14C,15B,16A,Hai
346,m,27,1,Niedersachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,<1000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Hameln,0,31785,DEU,android,128,2021-06-18 14:48:59,-,1A,2C,3B,4C,5A,6B,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
347,f,16,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,In einer Beziehung,Universitärer Abschluss,Realschulabschluss,Schramberg,0,78713,DEU,iOS,149,2021-06-18 14:47:48,-,1A,2B,3C,4C,5C,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
348,m,18,1,Niedersachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,>5000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Springe,0,31832,DEU,android,88,2021-06-18 14:53:36,-,1A,2B,3B,4B,5A,6C,7C,8B,9C,10A,11B,12C,13B,14A,15A,16A,Hai
349,m,19,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,>5000€,Single / Ledig,(Noch) kein Abschluss,Ohne Abschluss,Regensburg,1,93047,DEU,Android,165,2021-06-18 14:52:10,-,1A,2B,3C,4C,5C,6A,7A,8A,9C,10B,11C,12C,13B,14C,15B,16A,Hai
350,m,32,1,Niedersachsen,Sonstige,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,(Noch) kein Abschluss,Hauptschulabschluss,Stadthagen,0,31655,DEU,Android,352,2021-06-18 14:51:48,-,1A,2B,3C,4C,5C,6A,7C,8A,9C,10B,11A,12C,13B,14A,15B,16B,Hai
351,f,20,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,Mehr als 4 Personen,4000€ bis 5000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Petershagen,0,32469,DEU,iOS,86,2021-06-18 14:46:56,-,1A,2B,3C,4B,5C,6A,7B,8A,9C,10A,11A,12B,13B,14C,15C,16A,Hai
352,m,23,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Hamburg,1,21075,DEU,Android,49,2021-06-18 14:58:35,-,1A,2A,3B,4B,5C,6C,7A,8C,9A,10C,11C,12A,13B,14B,15C,16C,Hai
353,m,30,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,>5000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Duesseldorf,1,40549,DEU,iOS,118,2021-06-18 14:59:04,-,1A,2B,3B,4C,5A,6C,7C,8C,9B,10A,11A,12C,13B,14A,15C,16B,Hai
354,f,22,1,Hamburg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,3 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Hamburg,1,20095,DEU,iOS,177,2021-06-18 14:49:54,-,1A,2C,3C,4C,5A,6A,7B,8B,9C,10B,11A,12C,13A,14B,15B,16B,Hai
355,m,36,7,Sachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,"Eppendorf, Sachsen",0,09575,DEU,Android,154,2021-06-18 14:50:04,-,1A,2B,3C,4C,5A,6A,7A,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
356,m,40,1,Niedersachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,3000€ bis 4000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Lueneburg,0,21337,DEU,android,48,2021-06-18 14:45:13,-,1B,2B,3A,4C,5C,6B,7A,8A,9C,10B,11B,12B,13C,14A,15B,16B,Hai
357,f,27,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Nuertingen,0,72622,DEU,Android,90,2021-06-18 14:49:36,-,1A,2C,3B,4C,5C,6A,7A,8C,9C,10B,11C,12C,13B,14A,15B,16A,Hai
358,m,47,5,Berlin,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,4000€ bis 5000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Berlin,1,10179,DEU,Android,170,2021-06-18 14:58:27,-,1A,2C,3B,4C,5A,6A,7C,8C,9C,10B,11A,12C,13A,14B,15B,16B,Hai
359,f,37,1,Niedersachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Uelzen,0,29525,DEU,android,64,2021-06-18 14:53:07,-,1B,2B,3A,4B,5C,6C,7A,8B,9C,10A,11B,12B,13B,14B,15C,16B,Hai
360,m,20,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Ohne Abschluss,Gaildorf,0,74405,DEU,Android,111,2021-06-18 14:56:32,-,1A,2A,3A,4C,5A,6C,7C,8B,9C,10B,11A,12C,13B,14B,15B,16B,Hai
361,f,39,3b,Baden-Wuerttemberg,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,4000€ bis 5000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Sindelfingen,0,71063,DEU,Android,978,2021-06-18 15:07:47,-,1A,2B,3A,4C,5A,6A,7C,8A,9B,10B,11A,12C,13B,14A,15B,16B,Hai
362,f,46,5,Berlin,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Hauptschulabschluss,Berlin,1,13407,DEU,Android,88,2021-06-18 14:48:50,-,1A,2B,3C,4C,5A,6B,7A,8A,9A,10B,11A,12C,13A,14B,15B,16C,Hai
363,m,46,1,Niedersachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Hauptschulabschluss,Aurich,0,26603,DEU,Android,208,2021-06-18 14:54:04,-,1A,2B,3A,4C,5C,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
364,f,20,4,Bayern,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,>5000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Aschaffenburg,0,63743,DEU,iOS,87,2021-06-18 14:46:51,-,1C,2A,3A,4C,5B,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
365,f,16,7,Sachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Ohne Abschluss,Chemnitz,0,09111,DEU,android,202,2021-06-18 14:48:53,-,1A,2B,3B,4C,5C,6B,7A,8C,9B,10C,11B,12C,13B,14A,15B,16B,Hai
366,m,44,1,Niedersachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Hannover,1,30161,DEU,Android,171,2021-06-18 15:01:31,-,1A,2B,3A,4B,5C,6A,7A,8A,9A,10C,11B,12C,13B,14A,15C,16A,Hai
367,m,26,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Hamburg,1,21077,DEU,Android,46,2021-06-18 14:58:35,-,1B,2A,3C,4A,5B,6B,7B,8B,9B,10C,11B,12A,13C,14A,15C,16B,Hai
368,m,41,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Inden,0,52459,DEU,android,130,2021-06-18 14:50:23,-,1A,2B,3A,4C,5C,6B,7A,8A,9B,10B,11C,12C,13B,14A,15B,16A,Hai
369,f,41,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,3 Personen,3000€ bis 4000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Unna,0,59427,DEU,Android,159,2021-06-18 14:48:41,-,1A,2C,3B,4C,5A,6B,7A,8C,9B,10B,11A,12C,13B,14B,15B,16A,Hai
370,f,30,5,Berlin,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Berlin,1,12487,DEU,Android,87,2021-06-18 14:51:47,-,1A,2B,3B,4B,5A,6C,7B,8A,9C,10B,11C,12B,13A,14A,15B,16B,Hai
371,f,24,3a,Saarland,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Bexbach,0,66450,DEU,iOS,121,2021-06-18 14:51:56,-,1A,2B,3B,4C,5A,6B,7C,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
372,f,48,1,Hamburg,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Hamburg,1,22337,DEU,iOS,128,2021-06-18 14:47:12,-,1A,2B,3B,4C,5A,6B,7A,8C,9B,10B,11C,12C,13B,14A,15B,16A,Hai
373,m,20,4,Bayern,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Abitur / Fachabitur,Wuerzburg,1,97082,DEU,iOS,153,2021-06-18 14:49:48,-,1A,2B,3B,4C,5C,6A,7A,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
374,m,20,1,Hamburg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,1 Person,2000€ bis 3000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Hamburg,1,21037,DEU,iOS,155,2021-06-18 14:51:43,-,1A,2B,3C,4C,5C,6A,7A,8B,9C,10B,11C,12C,13B,14A,15B,16B,Hai
375,m,20,1,Schleswig-Holstein,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,3 Personen,4000€ bis 5000€,Single / Ledig,(Noch) kein Abschluss,Abitur / Fachabitur,Nindorf,0,25704,DEU,Android,224,2021-06-18 14:55:20,-,1A,2B,3A,4C,5C,6A,7A,8B,9B,10B,11C,12C,13B,14A,15B,16B,Hai
376,m,16,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Hauptschulabschluss,Gaissach,0,83674,DEU,iOS,80,2021-06-18 14:49:25,-,1A,2C,3B,4C,5B,6A,7C,8C,9A,10A,11C,12B,13C,14B,15A,16C,Hai
377,f,34,2,Nordrhein-Westfalen,-,-,-,-,-,-,-,Koeln,1,51103,DEU,Android,97,2021-06-18 14:48:35,-,1A,2B,3C,4C,5B,6B,7C,8A,9B,10A,11C,12C,13C,14B,15B,16B,Hai
378,f,29,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Realschulabschluss,Kehl,0,77694,DEU,iOS,162,2021-06-18 14:55:45,-,1A,2C,3C,4C,5A,6A,7B,8B,9C,10B,11A,12C,13A,14B,15B,16B,Hai
379,f,33,5,Berlin,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Berlin,1,14050,DEU,Android,940,2021-06-18 15:01:34,-,1A,2B,3A,4C,5C,6B,7C,8A,9B,10B,11C,12C,13A,14A,15B,16A,Hai
380,f,43,3a,Rheinland-Pfalz,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,(Noch) kein Abschluss,Abitur / Fachabitur,Mudersbach,0,57555,DEU,android,139,2021-06-18 14:53:38,-,1A,2B,3C,4B,5C,6A,7A,8A,9C,10C,11C,12C,13B,14A,15B,16A,Hai
381,f,44,3a,Rheinland-Pfalz,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Abitur / Fachabitur,Waldmohr,0,66914,DEU,Android,243,2021-06-18 14:51:50,-,1A,2B,3B,4C,5C,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16A,Hai
382,m,35,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,<1000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Stuttgart,1,70619,DEU,Android,176,2021-06-18 14:48:18,-,1A,2B,3A,4C,5C,6A,7A,8A,9C,10B,11C,12C,13B,14C,15B,16A,Hai
383,f,36,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,1 Person,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Koeln,1,51067,DEU,Android,81,2021-06-18 14:49:10,-,1C,2A,3C,4B,5C,6A,7C,8B,9A,10A,11C,12B,13B,14A,15C,16A,Hai
384,f,19,1,Niedersachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Realschulabschluss,Uetze,0,31311,DEU,iOS,155,2021-06-18 14:54:22,-,1A,2B,3A,4C,5C,6B,7C,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
385,f,40,1,Niedersachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Realschulabschluss,Stade,0,21680,DEU,Android,189,2021-06-18 14:56:06,-,1A,2B,3B,4B,5C,6A,7C,8A,9B,10C,11C,12A,13B,14A,15C,16A,Hai
386,m,42,4,Bayern,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Haimhausen,0,85778,DEU,android,290,2021-06-18 14:52:32,-,1A,2B,3A,4C,5B,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
387,f,17,6,Mecklenburg-Vorpommern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Rostock,1,18055,DEU,iOS,119,2021-06-18 14:47:21,-,1A,2C,3B,4C,5C,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16A,Hai
388,f,31,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Vlotho,0,32602,DEU,Android,165,2021-06-18 14:47:30,-,1A,2B,3B,4C,5C,6A,7A,8C,9A,10C,11A,12C,13B,14A,15B,16B,Hai
389,m,18,7,Sachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,4 Personen,>5000€,Single / Ledig,(Noch) kein Abschluss,Abitur / Fachabitur,"Dohna, Sachsen",0,01809,DEU,iOS,142,2021-06-18 14:47:15,-,1A,2B,3B,4C,5A,6A,7A,8C,9C,10B,11A,12C,13B,14A,15B,16B,Hai
390,m,30,1,Niedersachsen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Wolfsburg,1,38448,DEU,Android,131,2021-06-18 14:50:26,-,1B,2B,3A,4B,5B,6A,7A,8A,9A,10B,11C,12A,13B,14C,15C,16A,Hai
391,m,22,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Hamburg,1,22047,DEU,iOS,163,2021-06-18 14:56:13,-,1A,2C,3C,4C,5C,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16B,Hai
392,f,57,2,Nordrhein-Westfalen,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Hauptschulabschluss,Nettetal,0,41334,DEU,Android,95,2021-06-18 14:46:20,-,1A,2B,3C,4B,5A,6C,7A,8B,9B,10C,11B,12C,13A,14A,15B,16A,Hai
393,f,17,3a,Hessen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,>5000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Weiterstadt,0,64331,DEU,iOS,184,2021-06-18 14:50:13,-,1A,2B,3B,4C,5A,6B,7C,8C,9B,10B,11A,12C,13B,14C,15B,16A,Hai
394,m,27,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Hamburg,1,21075,DEU,Android,44,2021-06-18 14:53:06,-,1B,2C,3B,4A,5B,6B,7B,8B,9C,10C,11A,12B,13A,14A,15C,16C,Hai
395,f,39,5,Berlin,Erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Hauptschulabschluss,Berlin,1,13051,DEU,iOS,334,2021-06-18 14:55:52,-,1A,2B,3A,4C,5C,6B,7A,8A,9B,10B,11C,12C,13B,14A,15B,16A,Hai
396,m,18,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,3000€ bis 4000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Mannheim,1,68169,DEU,iOS,149,2021-06-18 14:54:43,-,1A,2B,3B,4C,5C,6B,7A,8C,9A,10C,11A,12C,13B,14A,15B,16B,Hai
397,m,25,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Menden,0,58708,DEU,android,132,2021-06-18 14:49:12,-,1A,2B,3A,4C,5C,6B,7C,8C,9B,10B,11C,12C,13B,14A,15B,16A,Hai
398,m,26,1,Hamburg,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Hamburg,1,21075,DEU,Android,42,2021-06-18 14:46:57,-,1C,2B,3B,4A,5B,6A,7C,8A,9A,10C,11C,12B,13A,14A,15A,16B,Hai
399,m,39,5,Berlin,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Berlin,1,10555,DEU,Android,179,2021-06-18 14:55:16,-,1A,2B,3A,4B,5C,6A,7C,8A,9A,10B,11C,12C,13A,14A,15B,16A,Hai
400,m,57,5,Berlin,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Berlin,1,10999,DEU,Android,232,2021-06-18 14:57:33,-,1A,2B,3B,4C,5C,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
401,f,27,1,Niedersachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,1000€ bis 2000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Stemmen,0,27389,DEU,iOS,113,2021-06-18 14:52:45,-,1A,2B,3A,4C,5C,6A,7A,8A,9B,10B,11A,12C,13B,14C,15B,16A,Hai
