NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltseinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.;2. Welche dieser Eiskugeln würdest du am ehesten kaufen?;3. Welche dieser Eiskugeln würdest du am ehesten kaufen?;4. Welche dieser Eiskugeln würdest du am ehesten kaufen?;5. Welche dieser Eiskugeln würdest du am ehesten kaufen?;6. Welche dieser Eiskugeln würdest du am ehesten kaufen?;7. Welche dieser Eiskugeln würdest du am ehesten kaufen?;8. Welche dieser Eiskugeln würdest du am ehesten kaufen?;9. Welche dieser Eiskugeln würdest du am ehesten kaufen?;10. Welche dieser Eiskugeln würdest du am ehesten kaufen?;11. Welche dieser Eiskugeln würdest du am ehesten kaufen?;12. Welche dieser Eiskugeln würdest du am ehesten kaufen?;13. Welche dieser Eiskugeln würdest du am ehesten kaufen?;14. Welche dieser Eiskugeln würdest du am ehesten kaufen?;15. Welche dieser Eiskugeln würdest du am ehesten kaufen?;16. Welche dieser Eiskugeln würdest du am ehesten kaufen?;17. Welche dieser Eiskugeln würdest du am ehesten kaufen?;18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!
280;m;60;3a;Hessen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;Frankfurt am Main;x;65934;DEU;iOS;138;2021-06-18 14:58:33;-;1C;2C;3B;4C;5A;6C;7C;8C;9B;10A;11A;12C;13A;14B;15B;16A;Hai
281;m;36;5;Berlin;Sonstige;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;No degree;Berlin;x;12059;DEU;Android;140;2021-06-18 14:49:41;-;1C;2B;3A;4C;5B;6B;7C;8A;9B;10A;11C;12C;13B;14C;15B;16B;Hai
282;f;43;3a;Rheinland-Pfalz;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Abitur / Fachabitur;Mudersbach;-;57555;DEU;android;139;2021-06-18 14:53:38;-;1A;2B;3C;4B;5C;6A;7A;8A;9C;10C;11C;12C;13B;14A;15B;16A;Hai
283;m;37;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;<1000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Dortmund;x;44141;DEU;Android;110;2021-06-18 14:49:10;-;1A;2C;3C;4C;5C;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
284;m;21;7;Thueringen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;Guenserode;-;06567;DEU;Android;290;2021-06-18 14:59:14;-;1B;2B;3A;4B;5C;6A;7A;8A;9A;10B;11C;12A;13B;14C;15B;16A;Hai
285;f;23;3b;Baden-Wuerttemberg;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Boeblingen;-;71032;DEU;Android;70;2021-06-18 14:49:09;-;1A;2C;3B;4C;5A;6B;7C;8C;9B;10B;11A;12C;13A;14B;15B;16A;Hai
286;f;24;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;2 Personen;4000€ bis 5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Koeln;x;50667;DEU;Android;106;2021-06-18 14:46:23;-;1C;2C;3A;4B;5B;6A;7B;8B;9C;10B;11C;12C;13A;14C;15C;16B;Hai
287;f;16;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Realschulabschluss;Schramberg;-;78713;DEU;iOS;149;2021-06-18 14:47:48;-;1A;2B;3C;4C;5C;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
288;f;38;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Dinslaken;-;46539;DEU;Android;196;2021-06-18 14:55:44;-;1A;2C;3A;4C;5C;6A;7A;8A;9B;10B;11C;12C;13B;14C;15B;16A;Hai
289;f;28;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Muenchen;x;81925;DEU;iOS;95;2021-06-18 14:52:47;-;1C;2A;3B;4C;5B;6B;7B;8C;9C;10B;11A;12C;13A;14C;15B;16A;Hai
290;f;18;3a;Rheinland-Pfalz;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;No degree;Worms;-;67549;DEU;Android;145;2021-06-18 14:48:59;-;1A;2B;3B;4C;5C;6A;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
291;m;19;1;Niedersachsen;Sonstige;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Osterholz;-;27711;DEU;iOS;316;2021-06-18 14:52:36;-;1A;2B;3C;4C;5C;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
292;m;36;5;Berlin;Sonstige;Keine Kinder (<18) im Haushalt;3 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;Berlin;x;13347;DEU;Android;101;2021-06-18 14:57:18;-;1A;2B;3C;4C;5C;6B;7C;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
293;f;31;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Nussloch;-;69226;DEU;iOS;157;2021-06-18 14:55:32;-;1A;2B;3C;4C;5B;6A;7C;8A;9C;10B;11C;12C;13B;14C;15B;16B;Hai
294;f;45;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;Berlin;x;12623;DEU;iOS;224;2021-06-18 14:54:06;-;1A;2B;3A;4C;5C;6A;7A;8A;9C;10B;11C;12C;13B;14C;15B;16A;Hai
295;f;28;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Stuttgart;x;70376;DEU;iOS;205;2021-06-18 14:51:04;-;1A;2B;3C;4C;5C;6B;7C;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
296;m;21;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;1 Person;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;Leverkusen;x;51373;DEU;iOS;103;2021-06-18 14:53:04;-;1A;2A;3C;4A;5C;6B;7A;8C;9B;10C;11B;12C;13B;14A;15A;16B;Hai
297;f;22;1;Schleswig-Holstein;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;Kattendorf;-;24568;DEU;Android;124;2021-06-18 14:50:50;-;1A;2C;3B;4C;5A;6C;7A;8C;9C;10B;11A;12C;13B;14A;15B;16B;Hai
298;f;20;5;Berlin;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Berlin;x;13125;DEU;iOS;171;2021-06-18 14:47:53;-;1A;2B;3C;4B;5C;6C;7A;8A;9A;10C;11C;12A;13B;14A;15A;16B;Hai
299;f;18;7;Sachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Goerlitz;-;02826;DEU;iOS;41;2021-06-18 14:51:08;-;1A;2A;3A;4B;5A;6B;7B;8C;9C;10B;11A;12B;13C;14A;15B;16B;Hai
300;f;25;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Pullach im Isartal;-;82049;DEU;iOS;139;2021-06-18 14:55:01;-;1B;2B;3A;4B;5C;6A;7C;8A;9C;10C;11C;12A;13B;14A;15B;16A;Hai
301;m;35;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Stuttgart;x;70619;DEU;Android;176;2021-06-18 14:48:18;-;1A;2B;3A;4C;5C;6A;7A;8A;9C;10B;11C;12C;13B;14C;15B;16A;Hai
302;f;21;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Kraichtal;-;76703;DEU;Android;201;2021-06-18 14:49:21;-;1A;2C;3C;4C;5C;6A;7A;8C;9C;10B;11C;12C;13B;14C;15B;16A;Hai
303;f;46;5;Berlin;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;Berlin;x;13407;DEU;Android;88;2021-06-18 14:48:50;-;1A;2B;3C;4C;5A;6B;7A;8A;9A;10B;11A;12C;13A;14B;15B;16C;Hai
304;f;71;1;Niedersachsen;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;Drage;-;21423;DEU;Android;178;2021-06-18 14:51:26;-;1A;2C;3C;4C;5A;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16A;Hai
305;m;61;3a;Rheinland-Pfalz;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;Herxheimweyher;-;76863;DEU;Android;270;2021-06-18 14:49:31;-;1A;2B;3C;4C;5C;6A;7C;8B;9C;10B;11C;12C;13B;14A;15B;16B;Hai
306;f;19;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Hadamar;-;65589;DEU;Android;121;2021-06-18 14:51:51;-;1A;2C;3B;4C;5C;6A;7A;8C;9C;10B;11C;12C;13B;14C;15B;16A;Hai
307;m;20;1;Hamburg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;x;21037;DEU;iOS;155;2021-06-18 14:51:43;-;1A;2B;3C;4C;5C;6A;7A;8B;9C;10B;11C;12C;13B;14A;15B;16B;Hai
308;m;16;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Geislingen an der Steige;-;73312;DEU;Android;115;2021-06-18 14:57:39;-;1A;2B;3B;4C;5C;6A;7C;8B;9C;10B;11C;12C;13B;14A;15B;16A;Hai
309;f;22;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Uelzen;-;29525;DEU;iOS;176;2021-06-18 14:50:09;-;1A;2C;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
310;m;22;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Gelsenkirchen;x;45896;DEU;iOS;192;2021-06-18 14:50:26;-;1A;2B;3C;4C;5C;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16A;Hai
311;m;27;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Hannover;x;30159;DEU;Android;84;2021-06-18 15:00:38;-;1B;2A;3A;4C;5B;6A;7B;8A;9B;10B;11C;12A;13B;14A;15B;16B;Hai
312;m;48;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Realschulabschluss;Garching bei Muenchen;-;85748;DEU;iOS;237;2021-06-18 15:04:35;-;1A;2A;3A;4C;5C;6B;7C;8B;9B;10B;11A;12C;13B;14C;15B;16B;Hai
313;m;20;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Dueren;-;52349;DEU;iOS;154;2021-06-18 14:48:46;-;1A;2B;3C;4C;5C;6C;7C;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
314;f;20;3a;Rheinland-Pfalz;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Germersheim;-;76726;DEU;iOS;181;2021-06-18 14:56:24;-;1A;2B;3B;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
315;m;71;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;Nettetal;-;41334;DEU;Android;351;2021-06-18 14:51:29;-;1B;2A;3C;4A;5B;6C;7C;8A;9C;10A;11C;12A;13C;14B;15A;16A;Hai
316;m;37;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Braunschweig;x;38100;DEU;iOS;87;2021-06-18 14:58:28;-;1C;2B;3B;4C;5C;6C;7A;8B;9A;10C;11B;12C;13B;14A;15B;16B;Hai
317;f;44;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Realschulabschluss;Berlin;x;12277;DEU;Android;138;2021-06-18 14:54:34;-;1A;2B;3B;4C;5C;6A;7A;8C;9A;10B;11A;12C;13B;14C;15B;16B;Hai
318;f;25;3a;Rheinland-Pfalz;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Roemerberg;-;67354;DEU;Android;79;2021-06-18 14:54:06;-;1C;2A;3A;4B;5C;6B;7A;8B;9A;10A;11B;12C;13A;14B;15B;16A;Hai
319;m;49;6;Brandenburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Dallgow-Doeberitz;-;14624;DEU;Android;191;2021-06-18 14:52:26;-;1A;2B;3C;4C;5C;6A;7C;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
320;f;27;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Stemmen;-;27389;DEU;iOS;113;2021-06-18 14:52:45;-;1A;2B;3A;4C;5C;6A;7A;8A;9B;10B;11A;12C;13B;14C;15B;16A;Hai
321;f;62;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Bielefeld;x;33739;DEU;Android;202;2021-06-18 14:48:56;-;1A;2B;3B;4C;5C;6A;7A;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
322;m;63;1;Hamburg;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Hamburg;x;21039;DEU;Android;181;2021-06-18 14:50:45;-;1A;2B;3B;4C;5C;6A;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
323;m;18;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Mannheim;x;68169;DEU;iOS;149;2021-06-18 14:54:43;-;1A;2B;3B;4C;5C;6B;7A;8C;9A;10C;11A;12C;13B;14A;15B;16B;Hai
324;m;16;7;Thueringen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;No degree;Steinbach;-;36448;DEU;android;137;2021-06-18 15:05:19;-;1A;2B;3B;4C;5C;6C;7A;8C;9B;10C;11A;12C;13B;14A;15B;16B;Hai
325;f;19;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Uetze;-;31311;DEU;iOS;155;2021-06-18 14:54:22;-;1A;2B;3A;4C;5C;6B;7C;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
326;m;27;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Hamburg;x;21075;DEU;Android;44;2021-06-18 14:53:06;-;1B;2C;3B;4A;5B;6B;7B;8B;9C;10C;11A;12B;13A;14A;15C;16C;Hai
327;m;39;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Gelsenkirchen;x;45894;DEU;Android;187;2021-06-18 14:52:13;-;1A;2B;3A;4C;5C;6A;7C;8A;9B;10B;11A;12C;13B;14A;15B;16B;Hai
328;f;37;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Uelzen;-;29525;DEU;android;64;2021-06-18 14:53:07;-;1B;2B;3A;4B;5C;6C;7A;8B;9C;10A;11B;12B;13B;14B;15C;16B;Hai
329;m;60;3a;Saarland;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Realschulabschluss;Mettlach;-;66693;DEU;Android;108;2021-06-18 14:56:45;-;1B;2B;3A;4B;5C;6A;7A;8A;9C;10B;11C;12A;13A;14A;15B;16A;Hai
330;f;28;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Wuerzburg;x;97070;DEU;iOS;219;2021-06-18 14:48:50;-;1A;2A;3A;4B;5B;6B;7B;8A;9A;10A;11B;12B;13B;14A;15C;16B;Hai
331;f;34;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;Kirchlengern;-;32278;DEU;Android;50;2021-06-18 14:45:30;-;1A;2C;3A;4B;5A;6B;7B;8A;9C;10B;11B;12C;13A;14C;15B;16A;Hai
332;f;30;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;Bad Neustadt an der Saale;-;97616;DEU;iOS;156;2021-06-18 14:49:17;-;1A;2B;3B;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
333;f;33;3a;Rheinland-Pfalz;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Steinefrenz;-;56414;DEU;iOS;68;2021-06-18 14:45:36;-;1A;2B;3A;4C;5C;6C;7A;8A;9B;10C;11A;12A;13B;14A;15B;16A;Hai
334;m;33;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Langelsheim;-;38685;DEU;iOS;51;2021-06-18 14:45:40;-;1B;2C;3B;4B;5C;6C;7C;8A;9B;10A;11C;12A;13A;14C;15C;16B;Hai
335;f;17;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Weiterstadt;-;64331;DEU;iOS;184;2021-06-18 14:50:13;-;1A;2B;3B;4C;5A;6B;7C;8C;9B;10B;11A;12C;13B;14C;15B;16A;Hai
336;f;18;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;2000€ bis 3000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Koenigsfeld im Schwarzwald;-;78126;DEU;iOS;96;2021-06-18 14:52:49;-;1A;2B;3B;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
337;m;26;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Hamburg;x;21077;DEU;Android;46;2021-06-18 14:58:35;-;1B;2A;3C;4A;5B;6B;7B;8B;9B;10C;11B;12A;13C;14A;15C;16B;Hai
338;f;41;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;3000€ bis 4000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Unna;-;59427;DEU;Android;159;2021-06-18 14:48:41;-;1A;2C;3B;4C;5A;6B;7A;8C;9B;10B;11A;12C;13B;14B;15B;16A;Hai
339;f;33;3a;Rheinland-Pfalz;;;;;;;;Trier;x;54294;DEU;iOS;302;2021-06-18 14:54:23;-;1C;2C;3C;4B;5B;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
340;f;18;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Muenchen;x;81245;DEU;Android;133;2021-06-18 14:53:09;-;1A;2B;3C;4C;5C;6B;7C;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
341;m;52;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;Minden;-;32423;DEU;iOS;106;2021-06-18 14:48:30;-;1A;2B;3A;4C;5B;6A;7C;8A;9C;10B;11C;12C;13B;14C;15B;16B;Hai
342;f;29;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Kehl;-;77694;DEU;iOS;162;2021-06-18 14:55:45;-;1A;2C;3C;4C;5A;6A;7B;8B;9C;10B;11A;12C;13A;14B;15B;16B;Hai
343;f;29;3b;Baden-Wuerttemberg;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Schwaigern;-;74193;DEU;iOS;174;2021-06-18 14:49:08;-;1A;2B;3A;4C;5C;6A;7C;8A;9B;10B;11C;12C;13B;14A;15B;16A;Hai
344;m;27;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Hamburg;x;21073;DEU;Android;61;2021-06-18 14:50:45;-;1C;2C;3A;4C;5B;6B;7C;8B;9A;10C;11A;12A;13B;14C;15A;16B;Hai
345;m;18;5;Berlin;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Berlin;x;10709;DEU;Android;325;2021-06-18 14:54:01;-;1A;2C;3C;4C;5C;6B;7A;8A;9C;10B;11C;12C;13B;14A;15B;16B;Hai
346;f;31;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Zuelpich;-;53909;DEU;Android;163;2021-06-18 14:47:20;-;1C;2C;3B;4C;5B;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16B;Hai
347;m;16;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;Gaissach;-;83674;DEU;iOS;80;2021-06-18 14:49:25;-;1A;2C;3B;4C;5B;6A;7C;8C;9A;10A;11C;12B;13C;14B;15A;16C;Hai
